ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20131221,source1,mfr1,mpn1,partnumber3,96194,-1
20131221,source1,mfr1,mpn1,partnumber1,96194,0.23
20131221,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131222,source1,mfr1,mpn1,partnumber3,96194,-1
20131222,source1,mfr1,mpn1,partnumber1,96194,0.23
20131222,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131223,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131223,source1,mfr1,mpn1,partnumber1,96194,0.23
20131223,source1,mfr1,mpn1,partnumber3,96194,-1
20131224,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131224,source1,mfr1,mpn1,partnumber1,96189,0.23
20131224,source1,mfr1,mpn1,partnumber3,96189,-1
20131225,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131225,source1,mfr1,mpn1,partnumber1,95944,0.23
20131225,source1,mfr1,mpn1,partnumber3,95944,-1
20131226,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131226,source1,mfr1,mpn1,partnumber1,95944,0.23
20131226,source1,mfr1,mpn1,partnumber3,95944,-1
20131227,source1,mfr1,mpn1,partnumber3,95694,-1
20131227,source1,mfr1,mpn1,partnumber1,95694,0.23
20131227,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131228,source1,mfr1,mpn1,partnumber3,95594,-1
20131228,source1,mfr1,mpn1,partnumber1,95594,0.23
20131228,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131229,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131229,source1,mfr1,mpn1,partnumber1,95094,0.23
20131229,source1,mfr1,mpn1,partnumber3,95094,-1
20131231,source1,mfr1,mpn1,partnumber3,91469,-1
20131231,source1,mfr1,mpn1,partnumber1,91469,0.23
20131231,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140101,source1,mfr1,mpn1,partnumber3,91319,-1
20140101,source1,mfr1,mpn1,partnumber1,91319,0.23
20140101,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140102,source1,mfr1,mpn1,partnumber3,91319,-1
20140102,source1,mfr1,mpn1,partnumber1,91319,0.23
20140102,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140103,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140103,source1,mfr1,mpn1,partnumber1,90739,0.23
20140103,source1,mfr1,mpn1,partnumber3,90739,-1
20140104,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140104,source1,mfr1,mpn1,partnumber1,90701,0.23
20140104,source1,mfr1,mpn1,partnumber3,90701,-1
20140105,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140105,source1,mfr1,mpn1,partnumber1,90696,0.23
20140105,source1,mfr1,mpn1,partnumber3,90696,-1
20140106,source1,mfr1,mpn1,partnumber3,90696,-1
20140106,source1,mfr1,mpn1,partnumber1,90696,0.23
20140106,source1,mfr1,mpn1,partnumber2,87000,0.03749
20140107,source1,mfr1,mpn1,partnumber3,87601,-1
20140107,source1,mfr1,mpn1,partnumber1,87601,0.23
20140107,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140108,source1,mfr1,mpn1,partnumber2,111000,0.03749
20140108,source1,mfr1,mpn1,partnumber1,114421,0.23
20140108,source1,mfr1,mpn1,partnumber3,114421,-1
20140109,source1,mfr1,mpn1,partnumber2,108000,0.03749
20140109,source1,mfr1,mpn1,partnumber1,111361,0.23
20140109,source1,mfr1,mpn1,partnumber3,111361,-1
20140110,source1,mfr1,mpn1,partnumber2,93000,0.03749
20140110,source1,mfr1,mpn1,partnumber1,96183,0.23
20140110,source1,mfr1,mpn1,partnumber3,99183,-1
20140111,source1,mfr1,mpn1,partnumber2,93000,0.03749
20140111,source1,mfr1,mpn1,partnumber1,93333,0.23
20140111,source1,mfr1,mpn1,partnumber3,93333,-1
20140112,source1,mfr1,mpn1,partnumber3,93333,-1
20140112,source1,mfr1,mpn1,partnumber1,93333,0.23
20140112,source1,mfr1,mpn1,partnumber2,93000,0.03749
20140113,source1,mfr1,mpn1,partnumber3,90945,-1
20140113,source1,mfr1,mpn1,partnumber1,90945,0.23
20140113,source1,mfr1,mpn1,partnumber2,90000,0.03749
20140114,source1,mfr1,mpn1,partnumber3,86945,-1
20140114,source1,mfr1,mpn1,partnumber1,86945,0.23
20140114,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140115,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140115,source1,mfr1,mpn1,partnumber1,84929,0.23
20140115,source1,mfr1,mpn1,partnumber3,84929,-1
20140116,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140116,source1,mfr1,mpn1,partnumber1,84609,0.23
20140116,source1,mfr1,mpn1,partnumber3,84609,-1
20140117,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140117,source1,mfr1,mpn1,partnumber1,84604,0.23
20140117,source1,mfr1,mpn1,partnumber3,84604,-1
20140118,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140118,source1,mfr1,mpn1,partnumber1,84501,0.23
20140118,source1,mfr1,mpn1,partnumber3,84501,-1
20140119,source1,mfr1,mpn1,partnumber3,84501,-1
20140119,source1,mfr1,mpn1,partnumber1,84501,0.23
20140119,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140120,source1,mfr1,mpn1,partnumber3,84401,-1
20140120,source1,mfr1,mpn1,partnumber1,84401,0.23
20140120,source1,mfr1,mpn1,partnumber2,84000,0.03749
20140121,source1,mfr1,mpn1,partnumber2,81000,0.03749
20140121,source1,mfr1,mpn1,partnumber1,84318,0.23
20140121,source1,mfr1,mpn1,partnumber3,81318,-1
20140122,source1,mfr1,mpn1,partnumber2,81000,0.03749
20140122,source1,mfr1,mpn1,partnumber1,83251,0.23
20140122,source1,mfr1,mpn1,partnumber3,83251,-1
20140123,source1,mfr1,mpn1,partnumber3,145735,-1
20140123,source1,mfr1,mpn1,partnumber1,145735,0.23
20140123,source1,mfr1,mpn1,partnumber2,144000,0.03749
20140124,source1,mfr1,mpn1,partnumber3,144003,-1
20140124,source1,mfr1,mpn1,partnumber1,144003,0.23
20140124,source1,mfr1,mpn1,partnumber2,144000,0.03749
20140126,source1,mfr1,mpn1,partnumber2,138000,0.03749
20140126,source1,mfr1,mpn1,partnumber1,143838,0.23
20140126,source1,mfr1,mpn1,partnumber3,143938,-1
20140127,source1,mfr1,mpn1,partnumber2,138000,0.03749
20140127,source1,mfr1,mpn1,partnumber1,143815,0.23
20140127,source1,mfr1,mpn1,partnumber3,143915,-1
20140128,source1,mfr1,mpn1,partnumber3,143606,-1
20140128,source1,mfr1,mpn1,partnumber1,143606,0.23
20140128,source1,mfr1,mpn1,partnumber2,138000,0.03749
20140129,source1,mfr1,mpn1,partnumber2,138000,0.03749
20140129,source1,mfr1,mpn1,partnumber1,143568,0.23
20140129,source1,mfr1,mpn1,partnumber3,143568,-1
20140131,source1,mfr1,mpn1,partnumber2,135000,0.03749
20140131,source1,mfr1,mpn1,partnumber1,140266,0.23
20140131,source1,mfr1,mpn1,partnumber3,140266,-1
20140202,source1,mfr1,mpn1,partnumber3,124960,-1
20140202,source1,mfr1,mpn1,partnumber1,124960,0.23
20140202,source1,mfr1,mpn1,partnumber2,120000,0.03749
20140203,source1,mfr1,mpn1,partnumber3,124960,-1
20140203,source1,mfr1,mpn1,partnumber1,124960,0.23
20140203,source1,mfr1,mpn1,partnumber2,120000,0.03749
20140204,source1,mfr1,mpn1,partnumber2,123000,0.03749
20140204,source1,mfr1,mpn1,partnumber1,127829,0.23
20140204,source1,mfr1,mpn1,partnumber3,127829,-1
20140205,source1,mfr1,mpn1,partnumber3,127814,-1
20140205,source1,mfr1,mpn1,partnumber1,127814,0.23
20140205,source1,mfr1,mpn1,partnumber2,123000,0.03749
20140206,source1,mfr1,mpn1,partnumber2,117000,0.03749
20140206,source1,mfr1,mpn1,partnumber1,124804,0.23
20140206,source1,mfr1,mpn1,partnumber3,124804,-1
20140211,source1,mfr1,mpn1,partnumber2,114000,0.03749
20140211,source1,mfr1,mpn1,partnumber1,116758,0.23
20140211,source1,mfr1,mpn1,partnumber3,116758,-1
20140212,source1,mfr1,mpn1,partnumber2,114000,0.03749
20140212,source1,mfr1,mpn1,partnumber1,116654,0.23
20140212,source1,mfr1,mpn1,partnumber3,116654,-1
20140213,source1,mfr1,mpn1,partnumber2,114000,0.03749
20140213,source1,mfr1,mpn1,partnumber1,116411,0.23
20140213,source1,mfr1,mpn1,partnumber3,116411,-1
20140214,source1,mfr1,mpn1,partnumber3,115611,-1
20140214,source1,mfr1,mpn1,partnumber1,115611,0.23
20140214,source1,mfr1,mpn1,partnumber2,114000,0.03749
20140215,source1,mfr1,mpn1,partnumber3,114539,-1
20140215,source1,mfr1,mpn1,partnumber1,114539,0.23
20140215,source1,mfr1,mpn1,partnumber2,114000,0.03749
20140216,source1,mfr1,mpn1,partnumber3,114539,-1
20140216,source1,mfr1,mpn1,partnumber1,114539,0.23
20140216,source1,mfr1,mpn1,partnumber2,114000,0.03749
