ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20140526,source1,mfr1,mpn1,partnumber1,1704,2.59
20140527,source1,mfr1,mpn1,partnumber1,1704,2.59
20140528,source1,mfr1,mpn1,partnumber1,1599,2.59
20140529,source1,mfr1,mpn1,partnumber1,1599,2.59
20140530,source1,mfr1,mpn1,partnumber1,1599,2.59
20140531,source1,mfr1,mpn1,partnumber1,1599,2.59
20140601,source1,mfr1,mpn1,partnumber1,1599,2.59
20140602,source1,mfr1,mpn1,partnumber1,1599,2.59
20140603,source1,mfr1,mpn1,partnumber1,1599,2.59
20140604,source1,mfr1,mpn1,partnumber1,1599,2.59
20140605,source1,mfr1,mpn1,partnumber1,1599,2.59
20140606,source1,mfr1,mpn1,partnumber1,1599,2.59
20140607,source1,mfr1,mpn1,partnumber1,1599,2.59
20140608,source1,mfr1,mpn1,partnumber1,1599,2.59
20140609,source1,mfr1,mpn1,partnumber1,1599,2.59
20140610,source1,mfr1,mpn1,partnumber1,1599,2.59
20140611,source1,mfr1,mpn1,partnumber1,1599,2.59
20140612,source1,mfr1,mpn1,partnumber1,1599,2.59
20140613,source1,mfr1,mpn1,partnumber1,1519,2.59
20140614,source1,mfr1,mpn1,partnumber1,1519,2.59
20140615,source1,mfr1,mpn1,partnumber1,1519,2.59
20140616,source1,mfr1,mpn1,partnumber1,1519,2.59
20140617,source1,mfr1,mpn1,partnumber1,1519,2.59
20140618,source1,mfr1,mpn1,partnumber1,1519,2.59
20140619,source1,mfr1,mpn1,partnumber1,1519,2.59
20140620,source1,mfr1,mpn1,partnumber1,1519,2.59
20140621,source1,mfr1,mpn1,partnumber1,1519,2.59
20140622,source1,mfr1,mpn1,partnumber1,1519,2.59
20140623,source1,mfr1,mpn1,partnumber1,1519,2.59
20140624,source1,mfr1,mpn1,partnumber1,1519,2.59
20140625,source1,mfr1,mpn1,partnumber1,1519,2.59
20140626,source1,mfr1,mpn1,partnumber1,1494,2.59
20140627,source1,mfr1,mpn1,partnumber1,1494,2.59
20140628,source1,mfr1,mpn1,partnumber1,1494,2.59
20140629,source1,mfr1,mpn1,partnumber1,1494,2.59
20140630,source1,mfr1,mpn1,partnumber1,1494,2.59
20140701,source1,mfr1,mpn1,partnumber1,1494,2.59
20140702,source1,mfr1,mpn1,partnumber1,2994,2.59
20140703,source1,mfr1,mpn1,partnumber1,2994,2.59
20140704,source1,mfr1,mpn1,partnumber1,2994,2.59
20140706,source1,mfr1,mpn1,partnumber1,2994,2.59
20140707,source1,mfr1,mpn1,partnumber1,2994,2.59
20140708,source1,mfr1,mpn1,partnumber1,2994,2.59
20140709,source1,mfr1,mpn1,partnumber1,2994,2.59
20140710,source1,mfr1,mpn1,partnumber1,2994,2.59
20140711,source1,mfr1,mpn1,partnumber1,2994,2.59
20140712,source1,mfr1,mpn1,partnumber1,2979,2.59
20140713,source1,mfr1,mpn1,partnumber1,2979,2.59
20140714,source1,mfr1,mpn1,partnumber1,2979,2.59
20140715,source1,mfr1,mpn1,partnumber1,2979,2.59
20140716,source1,mfr1,mpn1,partnumber1,2979,2.59
20140717,source1,mfr1,mpn1,partnumber1,2979,2.59
20140718,source1,mfr1,mpn1,partnumber1,2979,2.59
20140719,source1,mfr1,mpn1,partnumber1,2678,2.59
20140720,source1,mfr1,mpn1,partnumber1,2678,2.59
20140721,source1,mfr1,mpn1,partnumber1,2678,2.59
20140722,source1,mfr1,mpn1,partnumber1,2678,2.59
20140723,source1,mfr1,mpn1,partnumber1,2678,2.59
20140724,source1,mfr1,mpn1,partnumber1,2676,2.59
20140725,source1,mfr1,mpn1,partnumber1,2676,2.59
20140726,source1,mfr1,mpn1,partnumber1,2676,2.59
20140727,source1,mfr1,mpn1,partnumber1,2676,2.59
20140728,source1,mfr1,mpn1,partnumber1,2676,2.59
20140729,source1,mfr1,mpn1,partnumber1,2676,2.59
20140730,source1,mfr1,mpn1,partnumber1,2676,2.59
20140731,source1,mfr1,mpn1,partnumber1,2676,2.59
20140801,source1,mfr1,mpn1,partnumber1,2676,2.59
20140802,source1,mfr1,mpn1,partnumber1,2676,2.59
20140803,source1,mfr1,mpn1,partnumber1,2676,2.59
20140804,source1,mfr1,mpn1,partnumber1,2676,2.59
20140805,source1,mfr1,mpn1,partnumber1,2676,2.59
20140806,source1,mfr1,mpn1,partnumber1,2676,2.59
20140807,source1,mfr1,mpn1,partnumber1,2576,2.59
20140808,source1,mfr1,mpn1,partnumber1,2576,2.59
20140809,source1,mfr1,mpn1,partnumber1,2576,2.59
20140810,source1,mfr1,mpn1,partnumber1,2576,2.59
20140811,source1,mfr1,mpn1,partnumber1,2576,2.59
20140812,source1,mfr1,mpn1,partnumber1,2576,2.59
20140813,source1,mfr1,mpn1,partnumber1,2573,2.59
20140814,source1,mfr1,mpn1,partnumber1,2573,2.59
