ingestdate,qtyavail
20140523,11670000
20140523,11799065
20140523,11799065
20130816,15778000
20130816,15795960
20130816,15795960
20130818,15718000
20130818,15735960
20130818,15735960
20130820,15718000
20130820,15734760
20130820,15734760
20130903,8618000
20130903,8629647
20130903,8629917
20130906,8568000
20130906,8581198
20130906,8581198
20130907,8568000
20130907,8579868
20130907,8579868
20140513,6450000
20140513,6463398
20140513,6463398
20140515,5570000
20140515,5581700
20140515,5581700
20140516,5560000
20140516,5577490
20140516,5577490
20150115,17630000
20150115,17641421
20150115,17641411
20150117,16780000
20150117,16805891
20150117,16805891
20150118,16780000
20150118,16805891
20150118,16805891
20141230,18080000
20141230,18099583
20141230,18099583
20150104,17520000
20150104,17556051
20150104,17556051
20150106,18990000
20150106,19019411
20150106,19019411
20150112,18040000
20150112,18059541
20150112,18059541
20150114,17650000
20150114,17664661
20150114,17664661
20150121,16670000
20150121,16694845
20150121,16694845
20150219,12820000
20150219,12830834
20150219,12830834
20150220,12810000
20150220,12828794
20150220,12825134
20150221,12780000
20150221,12813251
20150221,12813251
20141212,11150000
20141212,11175697
20141212,11175697
20141221,18540000
20141221,18562692
20141221,18562692
20141223,19380000
20141223,19402494
20141223,19402494
20141226,18140000
20141226,18160463
20141226,18160463
20130917,8248000
20130917,8261701
20130917,8261701
20130918,8238000
20130918,8251086
20130918,8251086
20130925,8058000
20130925,8072640
20130925,8072640
20130926,7978000
20130926,7990655
20130926,7990655
20130927,7918000
20130927,7947530
20130927,7947530
20131031,3148000
20131031,3159889
20131031,3159889
20131102,3098000
20131102,3118829
20131102,3118829
20131103,3098000
20131103,3118829
20131103,3118829
20131111,1208000
20131111,1215406
20131111,1215406
20131209,168000
20131209,187330
20131209,187330
20131211,17104
20131211,17104
20131213,5668000
20131213,5692594
20131213,5692594
20131214,7028000
20131214,7044058
20131214,7044058
20140920,3730000
20140920,3794238
20140920,3794238
20140921,3730000
20140921,3794238
20140921,3794238
20131024,4808000
20131024,4826741
20131024,4826741
20131107,1218000
20131107,1233809
20131107,1233909
20131127,1278000
20131127,1303219
20131127,1303219
20131128,1228000
20131128,1247609
20131128,1247609
20131105,1998000
20131105,2014929
20131105,2014929
20131109,1208000
20131109,1215678
20131109,1215678
20131112,4068000
20131112,4093948
20131112,4093948
20131113,3068000
20131113,3083872
20131113,3084872
20131017,7258000
20131017,7273059
20131017,7273059
20131018,7248000
20131018,7262399
20131018,7262399
20131029,4508000
20131029,4522997
20131029,4522997
20131030,3158000
20131030,3170457
20131030,3170457
20131020,7228000
20131020,7245898
20131020,7245898
20131025,4798000
20131025,4815951
20131025,4815951
20131104,1998000
20131104,3118729
20131104,2018729
20131106,1218000
20131106,1234279
20131106,1234279
20140205,2210000
20140205,2225628
20140205,2225628
20140214,2090000
20140214,2110277
20140214,2110177
20140222,390000
20140222,413961
20140222,413961
20140310,3830000
20140310,3867406
20140310,3867406
20140701,11350000
20140701,11426420
20140701,11426420
20140706,10470000
20140706,10571833
20140706,10571833
20140707,10470000
20140707,10571823
20140707,10571823
20141013,11260000
20141013,11307139
20141013,11307139
20141015,13520000
20141015,14597139
20141015,14597139
20141016,13520000
20141016,13560697
20141016,13560697
20141019,13500000
20141019,13529926
20141019,13529916
20141109,12620000
20141109,12630755
20141109,12630755
20141111,12600000
20141111,12649290
20141111,12649290
20141121,12410000
20141121,12449422
20141121,12449422
20141125,12220000
20141125,12255111
20141125,12255111
20141130,11580000
20141130,11608816
20141130,11608816
20131101,3118000
20131101,3139179
20131101,3139179
20131108,1208000
20131108,1222374
20131108,1222374
20131110,1208000
20131110,1215406
20131110,1215406
20131115,2958000
20131115,2970552
20131115,2970552
20130922,8178000
20130922,8186216
20130922,8186216
20130928,7898000
20130928,7920350
20130928,7920350
20130930,7898000
20130930,7920230
20130930,7920230
20131021,7228000
20131021,7245873
20131021,7245873
20131001,7878000
20131001,7899480
20131001,7899480
20131004,7878000
20131004,7891200
20131004,7891200
20131005,7768000
20131005,7780286
20131005,7780286
20131019,7228000
20131019,7245937
20131019,7245937
20130919,8238000
20130919,8248536
20130919,8248536
20130924,8058000
20130924,8073960
20130924,8073960
20130929,7898000
20130929,7920230
20130929,7920230
20131003,7878000
20131003,7897450
20131003,7897450
20140725,7790000
20140725,7944680
20140725,7944680
20140726,7790000
20140726,7942719
20140726,7942719
20140729,8240000
20140729,8390765
20140729,8390765
20140730,6660000
20140730,6807582
20140730,6807832
20140909,2910000
20140909,3826177
20140909,3826177
20140910,2780000
20140910,2874593
20140910,2874703
20140915,2750000
20140915,2831775
20140915,2831775
20140916,5160000
20140916,5236900
20140916,5236900
20140811,5540000
20140811,5651438
20140811,5651438
20140813,5090000
20140813,5197711
20140813,5197711
20140814,5080000
20140814,5171346
20140814,5171346
20140818,4190000
20140818,4290655
20140818,4290755
20140820,4320000
20140820,4417520
20140820,4417520
20140822,4290000
20140822,4393357
20140822,4393357
20140829,2700000
20140829,2797359
20140829,2797359
20140903,2040000
20140903,2130989
20140903,2130989
20141112,13870000
20141112,13908053
20141112,13908053
20141119,13460000
20141119,13501446
20141119,13501446
20141122,12390000
20141122,12428707
20141122,12428707
20141123,12390000
20141123,12428607
20141123,12428607
20140421,9480000
20140421,9492692
20140421,9492692
20140425,8470000
20140425,8479808
20140425,8479808
20140502,6230000
20140502,6245270
20140502,6245270
